#sample_accession	run_accession	paired	Tissue	Sub_Tissue	Origin	Age_Days	Source
SRS637867	SRR1400269	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS637875	SRR1400443	y	Skin	.Cells_Transformed.fibroblasts.	Cell.Line	.	old
SRS637877	SRR1400489	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS637899	SRR1400799	y	Esophagus	.Esophagus_Gastroesophageal.Junction.	Adult.Tissue	.	old
SRS638031	SRR1403544	y	Liver	.Liver.	Adult.Tissue	.	old
SRS638064	SRR1403875	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS638066	SRR1403915	y	Brain	.Brain_Cerebellar.Hemisphere.	Adult.Tissue	.	old
SRS638073	SRR1404062	y	Stomach	.Stomach.	Adult.Tissue	.	old
SRS638077	SRR1404147	y	Stomach	.Stomach.	Adult.Tissue	.	old
SRS638120	SRR1405054	y	Liver	.Liver.	Adult.Tissue	.	old
SRS638135	SRR1405374	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS638174	SRR1405965	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS638175	SRR1405984	y	Muscle	.Muscle_Skeletal.	Adult.Tissue	.	old
SRS638182	SRR1406135	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS638190	SRR1406307	y	Thyroid	.Thyroid.	Adult.Tissue	.	old
SRS638206	SRR1406643	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS638235	SRR1406954	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
SRS638243	SRR1407134	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS638246	SRR1407226	y	Adrenal.Gland	.Adrenal.Gland.	Adult.Tissue	.	old
SRS638248	SRR1407250	y	Adipose.Tissue	.Adipose_Subcutaneous.	Adult.Tissue	.	old
SRS638259	SRR1407470	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS638304	SRR1408327	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS638314	SRR1408529	y	Muscle	.Muscle_Skeletal.	Adult.Tissue	.	old
SRS638317	SRR1408595	y	Muscle	.Muscle_Skeletal.	Adult.Tissue	.	old
SRS638384	SRR1409534	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS638410	SRR1409854	y	Adipose.Tissue	.Adipose_Subcutaneous.	Adult.Tissue	.	old
SRS638540	SRR1410404	y	Colon	.Colon_Transverse.	Adult.Tissue	.	old
SRS638551	SRR1410634	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS638559	SRR1410783	y	Brain	.Brain_Caudate.(basal.ganglia).	Adult.Tissue	.	old
SRS638569	SRR1411002	y	Thyroid	.Thyroid.	Adult.Tissue	.	old
SRS639143	SRR1412969	y	Liver	.Liver.	Adult.Tissue	.	old
SRS639170	SRR1413477	y	Skin	.Cells_Transformed.fibroblasts.	Cell.Line	.	old
SRS639178	SRR1413625	y	Brain	.Brain_Caudate.(basal.ganglia).	Adult.Tissue	.	old
SRS639185	SRR1413768	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS639196	SRR1413959	y	Brain	.Brain_Substantia.nigra.	Adult.Tissue	.	old
SRS639197	SRR1413978	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS639242	SRR1414833	y	Brain	.Brain_Nucleus.accumbens.(basal.ganglia).	Adult.Tissue	.	old
SRS639244	SRR1414876	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS639246	SRR1414916	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS639257	SRR1415113	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS639274	SRR1415439	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
SRS639292	SRR1415832	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS639297	SRR1415938	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS639298	SRR1415956	y	Spleen	.Spleen.	Adult.Tissue	.	old
SRS639318	SRR1416362	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS639324	SRR1416455	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS639349	SRR1416979	y	Adrenal.Gland	.Adrenal.Gland.	Adult.Tissue	.	old
SRS639350	SRR1416999	y	Brain	.Brain_Anterior.cingulate.cortex.(BA24).	Adult.Tissue	.	old
SRS639352	SRR1417047	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS639375	SRR1417404	y	Lung	.Lung.	Adult.Tissue	.	old
SRS639392	SRR1417725	y	Breast	.Breast_Mammary.Tissue.	Adult.Tissue	.	old
SRS639403	SRR1417960	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS639412	SRR1418145	y	Spleen	.Spleen.	Adult.Tissue	.	old
